RUNNABLE,TIMED_WAITING_monitor,TIMED_WAITING_parking,TIMED_WAITING_sleeping,WAITING_parking
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
10,1,8,11,25
9,1,9,11,25
9,1,8,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
8,1,9,12,25
9,1,8,12,25
11,1,6,12,25
8,1,9,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
10,1,7,12,25
9,1,8,12,25
10,1,8,11,25
10,1,7,12,25
8,1,9,12,25
9,1,8,12,25
8,1,9,12,25
8,1,9,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
8,1,9,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,11,25
10,1,7,12,25
8,1,9,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
8,1,9,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
10,1,7,12,25
8,1,9,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
8,1,9,12,25
12,1,6,11,25
9,1,8,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
8,1,9,12,25
12,1,6,11,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
11,1,7,11,25
9,1,8,12,25
9,1,8,12,25
8,1,9,12,25
10,1,8,11,25
8,1,9,12,25
9,1,8,12,25
9,1,8,12,25
8,1,9,12,25
8,1,9,12,25
11,1,7,11,25
9,1,8,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
11,1,6,12,25
9,1,8,12,25
9,1,8,12,25
11,1,7,11,25
10,1,7,12,25
8,1,9,12,25
9,1,9,11,25
8,1,9,12,25
9,1,8,12,25
8,1,9,12,25
10,1,7,12,25
11,1,6,12,25
10,1,7,12,25
10,1,7,12,25
8,1,9,12,25
8,1,9,12,25
9,1,8,12,25
8,1,9,12,25
10,1,7,12,25
9,1,9,11,25
8,1,9,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
10,1,7,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
10,1,7,12,25
11,1,6,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
10,1,8,11,25
11,1,7,11,25
9,1,8,12,25
10,1,7,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
8,1,9,12,25
8,1,9,12,25
12,1,6,11,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
8,1,9,12,25
8,1,9,12,25
8,1,9,12,25
8,1,9,12,25
12,1,6,11,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
8,1,9,12,25
8,1,9,12,25
12,1,6,11,25
10,1,7,12,25
8,1,9,12,25
8,1,9,12,25
9,1,8,12,25
8,1,9,12,25
10,1,7,12,25
9,1,8,12,25
9,1,8,12,25
10,1,7,12,25
9,1,8,12,25
10,1,7,12,25
10,1,7,12,25
10,1,7,12,25
